Run #1,Run #1,Run #1,Run #2,Run #2,Run #2
Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample)
02/05/2020 02:43:17 pm,3390.00,162,,,
02/05/2020 02:43:47 pm,3420.00,175,,,
02/05/2020 02:44:17 pm,3450.00,161,,,
02/05/2020 02:44:47 pm,3480.00,154,,,
02/05/2020 02:45:17 pm,3510.00,155,,,
02/05/2020 02:45:47 pm,3540.00,152,,,
02/05/2020 02:46:17 pm,3570.00,134,,,
02/05/2020 02:46:47 pm,3600.00,173,,,
02/05/2020 02:47:17 pm,3630.00,154,,,
02/05/2020 02:47:47 pm,3660.00,164,,,
02/05/2020 02:48:17 pm,3690.00,164,,,
02/05/2020 02:48:47 pm,3720.00,140,,,
02/05/2020 02:49:17 pm,3750.00,140,,,
02/05/2020 02:49:47 pm,3780.00,158,,,
02/05/2020 02:50:17 pm,3810.00,133,,,
02/05/2020 02:50:47 pm,3840.00,144,,,
02/05/2020 02:51:17 pm,3870.00,153,,,
02/05/2020 02:51:47 pm,3900.00,151,,,
02/05/2020 02:52:17 pm,3930.00,173,,,
02/05/2020 02:52:47 pm,3960.00,170,,,
02/05/2020 02:53:17 pm,3990.00,154,,,
02/05/2020 02:53:47 pm,4020.00,156,,,
02/05/2020 02:54:17 pm,4050.00,147,,,
02/05/2020 02:54:47 pm,4080.00,162,,,
02/05/2020 02:55:17 pm,4110.00,166,,,
02/05/2020 02:55:47 pm,4140.00,143,,,
02/05/2020 02:56:17 pm,4170.00,151,,,
02/05/2020 02:56:47 pm,4200.00,168,,,
02/05/2020 02:57:17 pm,4230.00,155,,,
02/05/2020 02:57:47 pm,4260.00,163,,,
02/05/2020 02:58:17 pm,4290.00,128,,,
02/05/2020 02:58:47 pm,4320.00,145,,,
02/05/2020 02:59:17 pm,4350.00,137,,,
02/05/2020 02:59:47 pm,4380.00,143,,,
02/05/2020 03:00:17 pm,4410.00,145,,,
02/05/2020 03:00:47 pm,4440.00,155,,,
02/05/2020 03:01:17 pm,4470.00,148,,,
02/05/2020 03:01:47 pm,4500.00,134,,,
02/05/2020 03:02:17 pm,4530.00,138,,,
02/05/2020 03:02:47 pm,4560.00,155,,,
02/05/2020 03:03:17 pm,4590.00,144,,,
02/05/2020 03:03:47 pm,4620.00,118,,,
02/05/2020 03:04:17 pm,4650.00,152,,,
02/05/2020 03:04:47 pm,4680.00,138,,,
02/05/2020 03:05:17 pm,4710.00,151,,,
02/05/2020 03:05:47 pm,4740.00,128,,,
02/05/2020 03:06:17 pm,4770.00,144,,,
02/05/2020 03:06:47 pm,4800.00,129,,,
02/05/2020 03:07:17 pm,4830.00,133,,,
02/05/2020 03:07:47 pm,4860.00,118,,,
02/05/2020 03:08:17 pm,4890.00,129,,,
02/05/2020 03:08:47 pm,4920.00,115,,,
02/05/2020 03:09:17 pm,4950.00,126,,,
02/05/2020 03:09:47 pm,4980.00,114,,,
02/05/2020 03:10:17 pm,5010.00,129,,,
02/05/2020 03:10:47 pm,5040.00,114,,,
02/05/2020 03:11:17 pm,5070.00,121,,,
02/05/2020 03:11:47 pm,5100.00,131,,,
02/05/2020 03:12:17 pm,5130.00,122,,,
02/05/2020 03:12:47 pm,5160.00,123,,,
02/05/2020 03:13:17 pm,5190.00,99,,,
02/05/2020 03:13:47 pm,5220.00,120,,,
02/05/2020 03:14:17 pm,5250.00,123,,,
02/05/2020 03:14:47 pm,5280.00,116,,,
02/05/2020 03:15:17 pm,5310.00,122,,,
02/05/2020 03:15:47 pm,5340.00,94,,,
02/05/2020 03:16:17 pm,5370.00,111,,,
02/05/2020 03:16:47 pm,5400.00,114,,,
