Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #4,Run #4,Run #4,Run #5,Run #5,Run #5,Run #6,Run #6,Run #6,Run #7,Run #7,Run #7,Run #8,Run #8,Run #8
Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample),Date and Time,Time (s),Geiger Counts (counts/sample)
01/29/2020 02:19:01 pm,15.00,47.000,01/29/2020 02:20:27 pm,15.00,44.000,01/29/2020 02:24:17 pm,15.00,47.000,01/29/2020 02:25:19 pm,15.00,37.000,01/29/2020 02:30:10 pm,30.00,90.000,01/29/2020 02:32:57 pm,30.00,80.000,01/29/2020 02:35:06 pm,30.00,101.000,01/29/2020 02:45:59 pm,75.00,327.000
01/29/2020 02:19:02 pm,16.00,45.000,01/29/2020 02:20:28 pm,16.00,44.000,01/29/2020 02:24:18 pm,16.00,41.000,01/29/2020 02:25:20 pm,16.00,42.000,01/29/2020 02:30:12 pm,32.00,97.000,01/29/2020 02:32:59 pm,32.00,93.000,01/29/2020 02:35:08 pm,32.00,107.000,01/29/2020 02:46:04 pm,80.00,315.000
01/29/2020 02:19:03 pm,17.00,44.000,01/29/2020 02:20:29 pm,17.00,35.000,01/29/2020 02:24:19 pm,17.00,41.000,01/29/2020 02:25:21 pm,17.00,34.000,01/29/2020 02:30:14 pm,34.00,93.000,01/29/2020 02:33:01 pm,34.00,84.000,01/29/2020 02:35:10 pm,34.00,76.000,01/29/2020 02:46:09 pm,85.00,297.000
01/29/2020 02:19:04 pm,18.00,44.000,01/29/2020 02:20:30 pm,18.00,37.000,01/29/2020 02:24:20 pm,18.00,35.000,01/29/2020 02:25:22 pm,18.00,38.000,01/29/2020 02:30:16 pm,36.00,68.000,01/29/2020 02:33:03 pm,36.00,84.000,01/29/2020 02:35:12 pm,36.00,85.000,01/29/2020 02:46:14 pm,90.00,328.000
01/29/2020 02:19:05 pm,19.00,39.000,01/29/2020 02:20:31 pm,19.00,38.000,01/29/2020 02:24:21 pm,19.00,51.000,01/29/2020 02:25:23 pm,19.00,35.000,01/29/2020 02:30:18 pm,38.00,92.000,01/29/2020 02:33:05 pm,38.00,74.000,01/29/2020 02:35:14 pm,38.00,97.000,01/29/2020 02:46:19 pm,95.00,317.000
01/29/2020 02:19:06 pm,20.00,39.000,01/29/2020 02:20:32 pm,20.00,42.000,01/29/2020 02:24:22 pm,20.00,51.000,01/29/2020 02:25:24 pm,20.00,41.000,01/29/2020 02:30:20 pm,40.00,81.000,01/29/2020 02:33:07 pm,40.00,78.000,01/29/2020 02:35:16 pm,40.00,79.000,01/29/2020 02:46:24 pm,100.00,310.000
01/29/2020 02:19:07 pm,21.00,41.000,01/29/2020 02:20:33 pm,21.00,49.000,01/29/2020 02:24:23 pm,21.00,41.000,01/29/2020 02:25:25 pm,21.00,40.000,01/29/2020 02:30:22 pm,42.00,91.000,01/29/2020 02:33:09 pm,42.00,94.000,01/29/2020 02:35:18 pm,42.00,94.000,01/29/2020 02:46:29 pm,105.00,319.000
01/29/2020 02:19:08 pm,22.00,41.000,01/29/2020 02:20:34 pm,22.00,49.000,01/29/2020 02:24:24 pm,22.00,41.000,01/29/2020 02:25:26 pm,22.00,39.000,01/29/2020 02:30:24 pm,44.00,100.000,01/29/2020 02:33:11 pm,44.00,90.000,01/29/2020 02:35:20 pm,44.00,81.000,01/29/2020 02:46:34 pm,110.00,300.000
01/29/2020 02:19:09 pm,23.00,40.000,01/29/2020 02:20:35 pm,23.00,44.000,01/29/2020 02:24:25 pm,23.00,41.000,01/29/2020 02:25:27 pm,23.00,37.000,01/29/2020 02:30:26 pm,46.00,101.000,01/29/2020 02:33:13 pm,46.00,80.000,01/29/2020 02:35:22 pm,46.00,84.000,01/29/2020 02:46:39 pm,115.00,335.000
01/29/2020 02:19:10 pm,24.00,48.000,01/29/2020 02:20:36 pm,24.00,38.000,01/29/2020 02:24:26 pm,24.00,47.000,01/29/2020 02:25:28 pm,24.00,43.000,01/29/2020 02:30:28 pm,48.00,92.000,01/29/2020 02:33:15 pm,48.00,87.000,01/29/2020 02:35:24 pm,48.00,89.000,01/29/2020 02:46:44 pm,120.00,312.000
